Date,Open,High,Low,Close,Volume
2020-01-02,294.9130269972677,296.14358388648566,293.9923834001532,296.1253356933594,59151200
2020-01-03,292.7436266674431,295.00420520161396,292.6889377189637,293.8830261230469,77709700
2020-01-06,292.1328420420894,295.0861837981025,292.01434006994486,295.004150390625,55653900
2020-01-07,294.4390032296372,294.91301114756425,293.7280191701127,294.1746826171875,40496400
2020-01-08,294.3660286722624,296.9547400028766,294.1199284891358,295.742431640625,68296000
2020-01-09,297.30119760730037,297.82077038824355,296.71781178644477,297.7478332519531,48473300
2020-01-10,298.33111551766575,298.4860581981078,296.4260437995196,296.8908996582031,53029300
2020-01-13,297.510801872737,298.94186605271307,297.082386683004,298.9327697753906,47086800
2020-01-14,298.4953016751799,299.54354357146394,297.9210399203598,298.4770812988281,62832800
2020-01-15,298.38584690535674,299.9080685509151,298.3038135068561,299.1515197753906,72056600
2020-01-16,300.5278990481638,301.63995361328125,300.30001924233943,301.63995361328125,54050300
2020-01-17,302.3509470912397,302.7884585291991,301.5761501633732,302.5788269042969,95846000
2020-01-21,301.6217259743135,302.78846954692693,301.5488166711206,301.986328125,77742400
2020-01-22,302.84318902456715,303.49038781097767,301.8678844320141,302.0228271484375,48914900
2020-01-23,301.37561848363805,302.77936593801815,300.2635638696882,302.3691711425781,51963000
2020-01-24,303.0254945486543,303.1075279519649,298.39496067890184,299.6802062988281,87578400
2020-01-27,294.44811064824233,296.35318285602233,294.1108529210448,294.87652587890625,84062500
2020-01-28,296.298487210109,298.84163406721996,294.9676767051918,297.9665832519531,63834000
2020-01-29,299.32474201380455,299.5526218615138,297.5199236056963,297.720458984375,53888900
2020-01-30,295.6605155085097,298.8964271226483,294.91309049832046,298.686767578125,75491800
2020-01-31,298.0668814238513,298.221851981053,292.35166407869235,293.26318359375,113845600
2020-02-03,294.73979049796515,297.30115767312014,294.6212885304359,295.441650390625,69083000
2020-02-04,299.0421238964606,300.8104734483571,298.723086598825,299.94451904296875,62573200
2020-02-05,302.8704711762649,303.61792358805616,301.41206272649225,303.40826416015625,65951100
2020-02-06,304.3654167083422,304.6206410029242,303.35361580732535,304.4292297363281,50359700
2020-02-07,303.37183913632214,304.4383010658972,302.2597845544811,302.80670166015625,64139400
2020-02-10,301.92253597033135,305.13107376686384,301.88606741089336,305.0672607421875,42070000
2020-02-11,306.4164008111858,307.2002942348692,305.0673419265735,305.5960388183594,54864500
2020-02-12,307.02705945948134,307.77451202465284,306.66245727222037,307.56488037109375,43992700
2020-02-13,306.1427992264959,308.20284134554566,305.8693546166026,307.23663330078125,54501900
2020-02-14,307.646848447526,307.84738378054004,306.4527605428289,307.7288818359375,64582200
2020-02-18,306.7353777212436,307.79274347896046,305.550385905375,306.9359130859375,57226200
2020-02-19,307.9021483533661,309.077988360176,307.6195795625174,308.4034729003906,48814700
2020-02-20,307.8565854998732,308.6769752996938,304.1558185736376,307.1365051269531,74163400
2020-02-21,305.78739481387316,306.09730805211063,303.1530905628107,303.9734802246094,113788200
2020-02-24,294.5483849080448,304.0464012409805,292.8164758374308,293.89208984375,161088400
2020-02-25,295.27769867089484,295.88840130215,284.1115821633396,284.98663330078125,218913200
2020-02-26,286.38112799579915,289.9633921811157,283.2090586238566,283.9382629394531,194773800
2020-02-27,278.43268874388383,283.9929622601153,271.1861267089844,271.1861267089844,284353500
2020-02-28,263.15566832306206,271.5325340386913,260.27526361074985,270.0467529296875,384975800
2020-03-02,271.82423989590694,281.80539019373504,268.40604154971504,281.7415771484375,238703600
2020-03-03,282.1152700822015,286.07126116142535,271.24084970802795,273.6745910644531,300139100
2020-03-04,279.03434596352906,285.39676211227726,276.4911987598748,285.177978515625,176613400
2020-03-05,277.995197331708,281.17639114422417,273.46494478951723,275.6981506347656,186366800
2020-03-06,267.211797114825,272.34365368594536,264.55017713456687,271.14044189453125,228667200
2020-03-09,250.94130814535401,259.04472988247346,249.25501931805033,249.96600341796875,309417300
2020-03-10,259.4549092564181,262.9915813511426,249.30056924454237,262.90045166015625,276444100
2020-03-11,255.86351506144038,256.99379025278967,246.91238758499932,250.08445739746094,255316300
2020-03-12,233.3489928159892,243.0657940580516,225.7651438733013,226.1571044921875,392220700
2020-03-13,239.81161165387473,247.45927200830852,226.5307825549705,245.49038696289062,329566100
2020-03-16,219.84023822786799,234.16932404862888,216.35824141554718,218.6279296875,297240000
2020-03-17,223.35865483936877,233.5038817218243,216.09385973523618,230.4320526123047,262070500
2020-03-18,215.34646582603455,226.39407689191867,207.84466479454713,218.76466369628906,327597100
2020-03-19,218.08099810602204,225.49165465544974,211.6730183757266,219.22950744628906,289322000
2020-03-20,222.37071486608463,224.1494627814303,209.50690060052804,209.78196716308594,347158800
2020-03-23,209.22271174158334,210.58885308857097,200.1180920586079,204.4182586669922,326025200
2020-03-24,214.9348708645978,223.81027088011052,214.36641010403872,222.93922424316406,235494500
2020-03-25,224.51625036542322,235.04203577073906,219.82183239457268,226.2766571044922,299430300
2020-03-26,228.77971920189324,240.95586078896224,228.34878482606823,239.48887634277344,257632800
2020-03-27,232.21803399813555,239.13129805518238,230.18256074726233,232.35556030273438,224341200
2020-03-30,234.44601489405457,240.61660815727984,232.45638865585167,239.9014434814453,171369500
